Name	description - not loaded	Id	Token
Dummy	invisible river sound2	66	X2
Dummy	ripple	67	1R
Dummy	ripple	68	2R
Dummy	ripple	69	3R
Dummy	ripple	70	4R
Dummy	forest night sound #1	71	F1
Dummy	forest night sound #2	72	F2
Dummy	yeti dung	73	YD
TrappDoor	Trap Door	74	TD
Door	"Door by Dock, Act 2"	75	DD
Dummy	sewer drip	76	SZ
Shrine	healthorama	77	SH
Dummy	invisible town sound	78	TA
Casket	casket #3	79	C3
Obelisk	obelisk	80	OB
Shrine	forest altar	81	AF
Dummy	bubbling pool of blood	82	B2
Shrine	horn shrine	83	HS
Shrine	healing well	84	HW
Shrine	"bull shrine,health, tombs"	85	BC
Dummy	"stele,magic shrine, stone, desert"	86	SG
Chest3	"tombchest 1, largechestL"	87	CA
Chest3	tombchest 2 largechestR	88	CB
Sarcophagus	"mummy coffinL, tomb"	89	MC
Obelisk	desert obelisk	90	DO
Door	tomb door left	91	TL
Door	tomb door right	92	TR
Shrine	mana shrineforinnerhell	93	iz
LargeUrn	Urn #4	94	U4
LargeUrn	Urn #5	95	U5
Shrine	health shrineforinnerhell	96	iy
Shrine	innershrinehell	97	ix
Door	tomb door left 2	98	TS
Door	tomb door right 2	99	TU
Duriel's Lair	Portal to Duriel's Lair	100	SJ
Dummy	Brazier3	101	B3
Dummy	Floor brazier	102	FB
Dummy	flies	103	FL
ArmorStand	Armor Stand 1R	104	A3
ArmorStand	Armor Stand 2L	105	A4
WeaponRack	Weapon Rack 1R	106	W1
WeaponRack	Weapon Rack 2L	107	W2
Malus	Malus	108	HM
Shrine	"palace shrine, healthR, harom, arcane Sanctuary"	109	P2
not used	drinker	110	n5
well	Fountain 1	111	F3
not used	gesturer	112	n6
well	"Fountain 2, well, desert, tomb"	113	F4
not used	turner	114	n7
well	Fountain 3	115	F5
Shrine	"snake woman, magic shrine, tomb, arcane sanctuary"	116	SN
Dummy	jungle torch	117	JT
Well	Fountain 4	118	F6
Waypoint	waypoint portal	119	wp
Dummy	"healthshrine, act 3, dungeun"	120	dj
jerhyn	placeholder #1	121	ss
jerhyn	placeholder #2	122	ss
Shrine	innershrinehell2	123	iw
Shrine	innershrinehell3	124	iv
hidden stash	ihobject3 inner hell	125	iu
skull pile	skullpile inner hell	126	is
hidden stash	ihobject5 inner hell	127	ir
hidden stash	hobject4 inner hell	128	hg
Door	secret door 1	129	h2
Well	pool act 1 wilderness	130	zw
Dummy	vile dog afterglow	131	9b
Well	cathedralwell act 1 inside	132	zc
shrine	shrine1_arcane sanctuary	133	xx
shrine	dshrine2 act 2 shrine	134	zs
shrine	desertshrine3 act 2 shrine	135	zr
shrine	dshrine1 act 2 shrine	136	zd
Well	"desertwell act 2 well, desert, tomb"	137	zl
Well	cavewell act 1 caves 	138	zy
chest	chest-r-large act 1	139	q1
chest	chest-r-tallskinney act 1	140	q2
chest	chest-r-med act 1	141	q3
jug	"jug1 act 2, desert"	142	q4
jug	"jug2 act 2, desert"	143	q5
chest	Lchest1 act 1	144	q6
Waypoint	waypointi inner hell	145	wi
chest	"dchest2R act 2, desert, tomb, chest-r-med"	146	q9
chest	"dchestr act 2, desert, tomb, chest -r large"	147	q7
chest	"dchestL act 2, desert, tomb chest l large"	148	q8
taintedsunaltar	tainted sun altar quest	149	za
shrine	"dshrine1 act 2 , desert"	150	zv
shrine	"dshrine4 act 2, desert"	151	ze
orifice	Where you place the Horadric staff	152	HA
Door	tyrael's door	153	DX
corpse	guard corpse	154	GC
hidden stash	rock act 1 wilderness	155	c7
Waypoint	waypoint act 2	156	wm
Waypoint	waypoint act 1 wilderness	157	wn
skeleton	corpse	158	cp
hidden stash	rockb act 1 wilderness	159	cq
fire	fire small	160	FX
fire	fire medium	161	FY
fire	fire large	162	FZ
hiding spot	cliff act 1 wilderness	163	cf
Shrine	mana well1	164	MB
Shrine	mana well2	165	MD
Shrine	"mana well3, act 2, tomb, "	166	MF
Shrine	"mana well4, act 2, harom"	167	MH
Shrine	mana well5	168	MJ
hollow log	log	169	cz
Shrine	jungle healwell act 3	170	JH
skeleton	corpseb	171	sx
Shrine	"health well, health shrine, desert"	172	Mk
Shrine	"mana well7, mana shrine, desert"	173	Mi
loose rock	rockc act 1 wilderness	174	RY
loose boulder	rockd act 1 wilderness	175	RZ
chest	chest-L-med	176	c8
chest	chest-L-large	177	c9
GuardCorpse	"guard on a stick, desert, tomb, harom"	178	GS
bookshelf	bookshelf1	179	b4
bookshelf	bookshelf2	180	b5
chest	jungle chest act 3	181	JC
coffin	tombcoffin	182	tm
chest	"chest-L-med, jungle"	183	jz
Shrine	jungle shrine2	184	jy
stash	jungle object` act3	185	jx
stash	jungle object` act3	186	jw
stash	jungle object` act3	187	jv
stash	jungle object` act3	188	ju
Dummy	cain portal	189	tP
Shrine	jungle shrine3 act 3	190	js
Shrine	jungle shrine4 act 3	191	jr
teleport pad	teleportation pad	192	7h
LamTome	Lam Esen's Tome	193	ab
stair	stairsl	194	sl
stair	stairsr	195	sv
a trap	test data floortrap	196	a5
Shrine	jungleshrine act 3	197	jq
chest	"chest-L-tallskinney, general chest r?"	198	c0
Shrine	mafistoshrine	199	mz
Shrine	mafistoshrine	200	my
Shrine	mafistoshrine	201	mx
Shrine	mafistomana	202	mw
stash	mafistolair	203	mv
stash	box	204	mu
stash	altar	205	mt
Shrine	mafistohealth	206	mr
dummy	water rocks in act 3 wrok	207	rw
Basket	basket 1	208	bd
Basket	basket 2	209	bj
Dummy	water logs in act 3  ne logw	210	lw
Dummy	water rocks girl in act 3 wrob	211	wb
Dummy	bubbles in act3 water	212	yb
Dummy	water logs in act 3 logx	213	wd
Dummy	water rocks in act 3 rokb	214	wc
Dummy	water rocks girl in act 3 watc	215	we
Dummy	water rocks in act 3 waty	216	wy
Dummy	water logs in act 3  logz	217	lx
Dummy	web covered tree 1	218	w3
Dummy	web covered tree 2	219	w4
Dummy	web covered tree 3	220	w5
Dummy	web covered tree 4	221	w6
pillar	hobject1	222	70
cocoon	cacoon	223	CN
cocoon	cacoon 2	224	CC
skullpile	hobject1	225	ib
Shrine	outershrinehell	226	ia
dummy	water rock girl act 3  nw  blgb	227	QX
dummy	big log act 3  sw blga	228	qw
door	slimedoor1	229	SQ
door	slimedoor2	230	SY
Shrine	outershrinehell2	231	ht
Shrine	outershrinehell3	232	hq
pillar	hobject2	233	hv
dummy	Big log act 3 se blgc 	234	Qy
dummy	Big log act 3 nw blgd	235	Qz
Shrine	health wellforhell	236	ho
Waypoint	act3waypoint town	237	wz
Waypoint	waypointh	238	wv
body	burning town	239	bz
chest	gchest1L general	240	cy
chest	gchest2R general	241	cx
chest	gchest3R general	242	cu
chest	glchest3L general	243	cd
ratnest	sewers	244	rn
body	burning town	245	by
ratnest	sewers	246	ra
bed	bed act 1	247	qa
bed	bed act 1	248	qb
manashrine	mana wellforhell	249	hn
a trap	exploding cow  for Tristan and ACT 3 only……Very Rare  1 or 2	250	ew
gidbinn altar	gidbinn altar	251	ga
gidbinn	gidbinn decoy	252	gd
Dummy	diablo right light	253	11
Dummy	diablo left light	254	12
Dummy	diablo start point	255	ss
Dummy	stool for act 1 cabin	256	s9
Dummy	wood for act 1 cabin	257	wg
Dummy	more wood for act 1 cabin	258	wh
Dummy	skeleton spawn for hell   facing nw	259	QS
Shrine	"holyshrine for monastery,catacombs,jail"	260	HL
a trap	spikes for tombs floortrap	261	A7
Shrine	act 1 cathedral	262	s0
Shrine	act 1 jail	263	jb
Shrine	act 1 jail	264	jd
Shrine	act 1 jail	265	jf
goo pile	goo pile for sand maggot lair	266	GP
bank	bank	267	b6
wirt's body	wirt's body	268	BP
dummy	gold placeholder	269	1g
corpse	guard corpse 2	270	GF
corpse	dead villager 1	271	dg
corpse	dead villager 2	272	df
Dummy	"yet another flame, no damage"	273	f8
hidden stash	tiny pixel shaped thingie	274	f9
Shrine	health shrine for caves	275	ce
Shrine	mana shrine for caves	276	cg
Shrine	cave magic shrine	277	cg
Shrine	"manashrine, act 3, dungeun"	278	de
Shrine	"magic shrine, act 3 sewers."	279	wj
Shrine	"healthwell, act 3, sewers"	280	wk
Shrine	"manawell, act 3, sewers"	281	wl
Shrine	"magic shrine, act 3 sewers, dungeon."	282	ws
dummy	"brazier_celler, act 2"	283	bi
sarcophagus	"anubis coffin, act2, tomb"	284	qc
dummy	"brazier_general, act 2, sewers, tomb, desert"	285	bm
Dummy	"brazier_tall, act 2, desert, town, tombs"	286	bo
Dummy	"brazier_small, act 2, desert, town, tombs"	287	bq
Waypoint	"waypoint, celler"	288	w7
bed	bed for harum	289	ub
door	iron grate door left	290	dv
door	iron grate door right	291	dn
door	wooden grate door left	292	dp
door	wooden grate door right	293	dt
door	wooden door left	294	dk
door	wooden door right	295	dl
Dummy	wall torch left for tombs	296	qd
Dummy	wall torch right for tombs	297	qe
portal	arcane sanctuary portal	298	ay
magic shrine	"magic shrine, act 2, haram"	299	hb
magic shrine	"magic shrine, act 2, haram"	300	hc
Dummy	maggot well health	301	qf
manashrine	maggot well mana	302	qg
magic shrine	"magic shrine, act 3 arcane sanctuary."	303	hd
teleportation pad	teleportation pad	304	7h
teleportation pad	teleportation pad	305	aa
teleportation pad	teleportation pad	306	aa
Dummy	arcane thing	307	7a
Dummy	arcane thing	308	7b
Dummy	arcane thing	309	7c
Dummy	arcane thing	310	7d
Dummy	arcane thing	311	7e
Dummy	arcane thing	312	7f
Dummy	arcane thing	313	7g
dead guard	harem guard 1	314	qh
dead guard	harem guard 2	315	qi
dead guard	harem guard 3	316	qj
dead guard	harem guard 4	317	qk
eunuch	harem blocker	318	ss
Dummy	"healthwell, act 2, arcane"	319	ax
manashrine	"healthwell, act 2, arcane"	320	au
Dummy	test data	321	pp
Well	"tombwell act 2 well, tomb"	322	hu
Waypoint	waypoint act2 sewer	323	qm
Waypoint	waypoint act3 travincal	324	ql
magic shrine	"magic shrine, act 3, sewer"	325	qn
dead body	"act3, sewer"	326	qo
dummy	torch (act 3 sewer) stra	327	V1
dummy	torch (act 3 kurast) strb	328	V2
chest	mafistochestlargeLeft	329	xb
chest	mafistochestlargeright	330	xc
chest	mafistochestmedleft	331	xd
chest	mafistochestmedright	332	xe
chest	spiderlairchestlargeLeft	333	xf
chest	spiderlairchesttallLeft	334	xg
chest	spiderlairchestmedright	335	xh
chest	spiderlairchesttallright	336	xi
Steeg Stone	steeg stone	337	y6
Guild Vault	guild vault	338	y4
Trophy Case	trophy case	339	y2
Message Board	message board	340	y3
Dummy	mephisto bridge	341	xj
portal	hellgate	342	1y
Shrine	"manawell, act 3, kurast"	343	xl
Shrine	"healthwell, act 3, kurast"	344	xm
Dummy	hellfire1	345	e3
Dummy	hellfire2	346	e4
Dummy	hellfire3	347	e5
Dummy	helllava1	348	e6
Dummy	helllava2	349	e7
Dummy	helllava3	350	e8
Dummy	helllightsource1	351	ss
Dummy	helllightsource1	352	ss
Dummy	helllightsource1	353	ss
chest	horadric cube chest	354	xk
chest	horadric scroll chest	355	xk
chest	staff of kings chest	356	xk
Tome	yet another tome	357	TT
fire	hell brazier	358	E1
fire	hell brazier	359	E2
RockPIle	dungeon	360	xn
magic shrine	"magic shrine, act 3,dundeon"	361	qo
basket	dungeon	362	xp
HungSkeleton	outerhell skeleton	363	jw
Dummy	guy for dungeon	364	ea
casket	casket for Act 3 dungeon	365	vb
sewer stairs	stairs for act 3 sewer quest	366	ve
sewer lever	lever for act 3 sewer quest	367	vf
darkwanderer	start position	368	ss
dummy	trapped soul placeholder	369	ss
Dummy	torch for act3 town	370	VG
chest	LargeChestR	371	L1
BoneChest	innerhellbonepile	372	y1
Dummy	skeleton spawn for hell            facing ne	373	Qt
Dummy	fog act 3 water rfga	374	ud
Dummy	Not used	375	xx
Hellforge	Forge  hell	376	ux
Guild Portal	Portal to next guild level	377	PP
Dummy	hratli start	378	ss
Dummy	hratli end	379	ss
TrappedSoul	Burning guy for outer hell	380	uy
TrappedSoul	Burning guy for outer hell	381	15
Dummy	natalya start	382	ss
TrappedSoul	guy stuck in hell	383	18
TrappedSoul	guy stuck in hell	384	19
Dummy	cain start position	385	ss
Dummy	stairsr	386	sv
chest	arcanesanctuarybigchestLeft	387	y7
casket	arcanesanctuarycasket	388	y8
chest	arcanesanctuarybigchestRight	389	y9
chest	arcanesanctuarychestsmallLeft	390	ya
chest	arcanesanctuarychestsmallRight	391	yc
Seal	Diablo seal	392	30
Seal	Diablo seal	393	31
Seal	Diablo seal	394	32
Seal	Diablo seal	395	33
Seal	Diablo seal	396	34
chest	sparklychest	397	yf
Waypoint	waypoint pandamonia fortress	398	yg
fissure	fissure for act 4 inner hell	399	fh
Dummy	"brazier for act 4, hell mesa"	400	he
Dummy	smoke	401	35
Waypoint	waypoint valleywaypoint	402	yi
fire	hell brazier	403	9f
compellingorb	compelling orb	404	55
chest	khalim chest	405	xk
chest	khalim chest	406	xk
chest	khalim chest	407	xk
Dummy	fortress brazier #1	408	98
Dummy	fortress brazier #2	409	99
Expansion
Siege Control	To control siege machines	408	zq
ptox	Pot O Torch (level 1)	409	px
pyox	fire pit  (level 1)	410	py
chestR	expansion no snow	413	6q
Shrine3wilderness	expansion no snow	414	6r
Shrine2wilderness	expansion no snow	415	6s
hiddenstash	expansion no snow	416	3w
flag wilderness	expansion no snow	417	ym
barrel wilderness	expansion no snow	418	yn
barrel wilderness	wilderness/siege	419	6t
woodchestL	expansion no snow	420	yp
Shrine3wilderness	expansion no snow	421	yq
manashrine	expansion no snow	422	yr
healthshrine	expansion no snow	423	ys
burialchestL	expansion no snow	424	yt
burialchestR	expansion no snow	425	ys
well	expansion no snow	426	yv
Shrine2wilderness	expansion no snow	427	yw
Shrine2wilderness	expansion no snow	428	yx
Waypoint	expansion no snow	429	yy
ChestL	expansion no snow	430	yz
woodchestR	expansion no snow	431	6a
ChestSL	expansion no snow	432	6b
ChestSR	expansion no snow	433	6c
etorch1	expansion no snow	434	6d
ecfra	camp fire	435	2w
ettr	town torch	436	2x
etorch2	expansion no snow	437	6e
burningbodies	wilderness/siege	438	6f
burningpit	wilderness/siege	439	6g
tribal flag	wilderness/siege	440	6h
eflg	town flag	441	2y
chan	chandeleir	442	2z
jar1	wilderness/siege	443	6i
jar2	wilderness/siege	444	6j
jar3	wilderness/siege	445	6k
swingingheads	wilderness	446	6L
pole	wilderness	447	6m
animated skulland rockpile	expansion no snow	448	6n
gate	town main gate	449	2v
pileofskullsandrocks	seige	450	6o
hellgate	seige	451	6p
banner 1	preset in enemy camp	452	ao
banner 2	preset in enemy camp	453	ap
explodingchest	wilderness/siege	454	6t
chest	specialchest	455	6u
deathpole	wilderness	456	6v
Ldeathpole	wilderness	457	6w
Altar	inside of temple	458	6x
dummy	Drehya Start In Town	459	ss
dummy	Drehya Start Outside Town	460	ss
dummy	Nihlathak Start In Town	461	ss
dummy	Nihlathak Start Outside Town	462	ss
hidden stash	icecave_	463	6y
healthshrine	icecave_	464	8a
manashrine	icecave_	465	8b
evilurn	icecave_	466	8c
icecavejar1	icecave_	467	8d
icecavejar2	icecave_	468	8e
icecavejar3	icecave_	469	8f
icecavejar4	icecave_	470	8g
icecavejar4	icecave_	471	8h
icecaveshrine2	icecave_	472	8i
cagedwussie1	caged fellow	473	60
Ancient Statue 3	statue	474	60
Ancient Statue 1	statue	475	61
Ancient Statue 2	statue	476	62
deadbarbarian	seige/wilderness	477	8j
clientsmoke	client smoke	478	oz
icecaveshrine2	icecave_	479	8k
icecave_torch1	icecave_	480	8L
icecave_torch2	icecave_	481	8m
ttor	expansion tiki torch	482	2p
manashrine	baals	483	8n
healthshrine	baals	484	8o
tomb1	baal's lair	485	8p
tomb2	baal's lair	486	8q
tomb3	baal's lair	487	8r
magic shrine	baal's lair	488	8s
torch1	baal's lair	489	8t
torch2	baal's lair	490	8u
manashrine	snowy	491	8v
healthshrine	snowy	492	8w
well	snowy	493	8x
Waypoint	baals_waypoint	494	8y
magic shrine	snowy_shrine3	495	8z
Waypoint	wilderness_waypoint	496	5a
magic shrine	snowy_shrine3	497	5b
well	baalslair	498	5c
magic shrine2	baal's lair	499	5d
object1	snowy	500	5e
woodchestL	snowy	501	5f
woodchestR	snowy	502	5g
magic shrine	baals_shrine3	503	5h
woodchest2L	snowy	504	5f
woodchest2R	snowy	505	5f
swingingheads	snowy	506	5k
debris	snowy	507	5l
pene	Pen breakable door	508	2q
magic shrine	temple	509	5h
mrpole	snowy	510	5k
Waypoint	icecave 	511	5a
magic shrine	temple	512	5t
well	temple	513	5q
torch1	temple	514	5r
torch1	temple	515	5s
object1	temple	516	5u
object2	temple	517	5v
mrbox	baals	518	5w
well	icecave	519	5x
magic shrine	temple	520	5y
healthshrine	temple	521	5z
manashrine	temple	522	3a
red light	 (touch me)  for blacksmith	523	ss
tomb1L	baal's lair	524	3b
tomb2L	baal's lair	525	3c
tomb3L	baal's lair	526	3d
ubub	Ice cave bubbles 01	527	2u
sbub	Ice cave bubbles 01	528	2s
tomb1	redbaal's lair	529	3f
tomb1L	redbaal's lair	530	3g
tomb2	redbaal's lair	531	3h
tomb2L	redbaal's lair	532	3i
tomb3	redbaal's lair	533	3j
tomb3L	redbaal's lair	534	3k
mrbox	redbaals	535	3L
torch1	redbaal's lair	536	3m
torch2	redbaal's lair	537	3n
candles	temple	538	3o
Waypoint	temple	539	3p
deadperson	everywhere	540	3q
groundtomb	temple	541	3s
Dummy	Larzuk Greeting	542	ss
Dummy	Larzuk Standard	543	ss
groundtombL	temple	544	3t
deadperson2	everywhere	545	3u
ancientsaltar	ancientsaltar	546	4a
To The Worldstone Keep Level 1	ancientsdoor	547	4b
eweaponrackR	everywhere	548	3x
eweaponrackL	everywhere	549	3y
earmorstandR	everywhere	550	3z
earmorstandL	everywhere	551	4c
torch2	summit	552	9g
funeralpire	outside	553	9h
burninglogs	outside	554	9i
stma	Ice cave steam	555	2o
deadperson2	everywhere	556	3v
Dummy	Baal's lair	557	ss
fana	frozen anya	558	2n
BBQB	BBQ Bunny	559	29
btor	Baal Torch Big	560	25
Dummy	invisible ancient	561	ss
Dummy	invisible base	562	ss
The Worldstone Chamber	baals portal	563	4x
Glacial Caves Level 1	summit door	564	4u
strlastcinematic	last portal	565	pp
Harrogath	last last portal	566	pp
Zoo	test data	567	ss
Keeper	test data	568	7z
Throne of Destruction	baals portal	569	4x
Dummy	fire place guy	570	7y
Dummy	door blocker	571	ss
Dummy	door blocker	572	ss
